pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
Kepler-444,e,Transit,7.743493,0.0696,0.1,,35.7,0.76,2015-01-29,28.03
Kepler-444,f,Transit,9.740486,0.0811,0.29,,35.7,0.76,2015-01-29,28.03
Kepler-444,d,Transit,6.189392,0.06,0.18,,35.7,0.76,2015-01-29,28.03
Kepler-776,b,Transit,4.89718784,,,,727.,0.83,2016-05-10,
Kepler-1147,b,Transit,10.62784997,,,,1476.,1.09,2016-05-10,
Kepler-1368,b,Transit,0.67564949,,,,1750.,1.07,2016-05-10,
Kepler-1499,b,Transit,44.2008,,,,310.,0.82,2016-05-10,
Kepler-702,b,Transit,10.52629406,,,,892.,0.9,2016-05-10,
Kepler-494,b,Transit,8.02511821,,,,862.,1.1,2016-05-10,
Kepler-1418,b,Transit,22.4764425,,,,499.,0.77,2016-05-10,
Kepler-1338,b,Transit,0.93511806,,,,619.,1.04,2016-05-10,
Kepler-775,b,Transit,0.97486893,,,,400.,0.92,2016-05-10,
Kepler-1059,b,Transit,3.76419105,,,,673.,0.75,2016-05-10,
Kepler-1230,b,Transit,9.95661537,,,,1433.,1.06,2016-05-10,
Kepler-639,b,Transit,10.21420496,,,,680.,1.14,2016-05-10,
Kepler-501,b,Transit,5.64067757,,,,1044.,1.03,2016-05-10,
HD 136418,b,Radial Velocity,464.3,1.32,0.255,2.,106.38,1.33,2014-05-14,9.4
Kepler-1554,b,Transit,198.088774,,,,982.,0.84,2016-05-10,
Kepler-703,b,Transit,4.58352176,,,,1482.,1.18,2016-05-10,
Kepler-1478,b,Transit,26.0840594,,,,1405.,1.04,2016-05-10,
Kepler-171,c,Transit,11.463462,0.098,,,,,2014-05-14,
Kepler-171,b,Transit,4.166972,0.05,,,,,2014-05-14,
Kepler-171,d,Transit,39.595519,0.223,,,,,2014-05-14,
Kepler-353,c,Transit,8.410894,0.065,,,,0.54,2014-05-14,
Kepler-353,b,Transit,5.795278,0.051,,,,0.54,2014-05-14,
Kepler-912,b,Transit,2.53475627,,,,1265.,1.07,2016-05-10,
Kepler-204,c,Transit,25.660593,0.173,,,,0.96,2014-05-14,
Kepler-204,b,Transit,14.400974,0.117,,,,0.96,2014-05-14,
Kepler-269,b,Transit,5.326718,0.061,,,,0.98,2014-05-14,
Kepler-269,c,Transit,8.127899,0.081,,,,0.98,2014-05-14,
Kepler-1370,b,Transit,20.2641684,,,,878.,1.19,2016-05-10,
Kepler-1370,c,Transit,7.44142113,,,,878.,1.19,2016-05-10,
Kepler-797,b,Transit,27.07237711,,,,752.,0.96,2016-05-10,
Kepler-1505,b,Transit,30.8609366,,,,359.,0.93,2016-05-10,
Kepler-242,b,Transit,8.20395,0.075,,,,,2014-05-14,
Kepler-242,c,Transit,14.496481,0.109,,,,,2014-05-14,
Kepler-705,b,Transit,56.0560538,,,,251.,0.53,2016-05-10,
Kepler-172,d,Transit,14.627119,0.118,,,,0.86,2014-05-14,
Kepler-172,e,Transit,35.118736,0.211,,,,0.86,2014-05-14,
Kepler-172,c,Transit,6.388996,0.068,,,,0.86,2014-05-14,
Kepler-172,b,Transit,2.940309,0.04,,,,0.86,2014-05-14,
Kepler-206,b,Transit,7.781987,0.078,,,,0.94,2014-05-14,
Kepler-206,d,Transit,23.44281,0.163,,,,0.94,2014-05-14,
Kepler-206,c,Transit,13.137471,0.111,,,,0.94,2014-05-14,
Kepler-704,b,Transit,3.76182115,,,,1054.,0.97,2016-05-10,
Kepler-205,b,Transit,2.75564,0.032,,,,,2014-05-14,
Kepler-205,c,Transit,20.306546,0.122,,,,,2014-05-14,
Kepler-539,c,Transit,1000.,2.42,0.5,2.4,313.,1.05,2016-05-10,
Kepler-539,b,Transit,125.63243,0.4988,0.39,0.97,313.,1.05,2016-05-10,
Kepler-56,d,Radial Velocity,1002.,2.16,0.2,5.61,,1.32,2016-10-13,
Kepler-56,c,Transit,21.40239,0.1652,,0.57,,1.32,2014-05-14,
Kepler-56,b,Transit,10.5016,0.1028,,0.07,,1.32,2014-05-14,
Kepler-1227,b,Transit,94.2887577,,,,667.,0.97,2016-05-10,
Kepler-173,b,Transit,4.263742,0.048,,,,0.78,2014-05-14,
Kepler-173,c,Transit,8.005777,0.074,,,,0.78,2014-05-14,
Kepler-483,b,Transit,30.229104,,,,953.,1.28,2016-05-10,
KOI-94,c,Transit,10.423648,0.1013,0.43,0.049,,1.28,2014-05-14,
KOI-94,d,Transit,22.342989,0.1684,0.022,0.334,,1.28,2014-05-14,
KOI-94,b,Transit,3.743208,0.05119,0.25,0.033,,1.28,2014-05-14,
KOI-94,e,Transit,54.32031,0.3046,0.019,0.11,,1.28,2014-05-14,
Kepler-965,b,Transit,134.2527298,,,,618.,1.05,2016-05-10,
Kepler-1359,b,Transit,59.4970952,,,,669.,0.78,2016-05-10,
Kepler-449,b,Transit,12.58242,,0.03,,,0.97,2015-05-21,
Kepler-449,c,Transit,33.6727,,0.05,,,0.97,2015-05-21,
Kepler-11,b,Transit,10.3039,0.091,0.045,0.006,613.,0.96,2014-05-14,
Kepler-11,d,Transit,22.6845,0.155,0.004,0.023,613.,0.96,2014-05-14,
Kepler-11,f,Transit,46.6888,0.25,0.013,0.006,613.,0.96,2014-05-14,
Kepler-11,g,Transit,118.3807,0.466,0.15,0.079,613.,0.96,2014-05-14,
Kepler-11,e,Transit,31.9996,0.195,0.012,0.025,613.,0.96,2014-05-14,
Kepler-11,c,Transit,13.0241,0.107,0.026,0.009,613.,0.96,2014-05-14,
Kepler-706,b,Transit,41.40831347,,,,810.,0.87,2016-05-10,
Kepler-438,b,Transit,35.23319,0.166,0.03,,145.,0.54,2015-01-06,
Kepler-913,b,Transit,10.29672521,,,,597.,0.63,2016-05-10,
Kepler-600,b,Transit,23.67517607,,,,624.,0.84,2016-05-10,
Kepler-152,c,Transit,88.255055,0.356,,,,,2014-05-14,
Kepler-152,b,Transit,18.207973,0.124,,,,,2014-05-14,
Kepler-100,c,Transit,12.8159,,,,,1.08,2016-10-13,
Kepler-100,d,Transit,35.3331,,,,,1.08,2016-10-13,
Kepler-100,b,Transit,6.88705,,,0.023,,1.08,2014-05-14,
Kepler-952,b,Transit,130.3546919,,,,1167.,1.,2016-05-10,
Kepler-1501,b,Transit,14.5564533,,,,888.,1.2,2016-05-10,
Kepler-1463,b,Transit,25.15864,,,,1341.,0.96,2016-05-10,
Kepler-1457,b,Transit,51.1110243,,,,728.,1.01,2016-05-10,
Kepler-243,c,Transit,20.026218,0.142,,,,0.89,2014-05-14,
Kepler-243,b,Transit,5.715442,0.062,,,,0.89,2014-05-14,
Kepler-1444,b,Transit,33.42035034,,,,340.,1.03,2016-05-10,
Kepler-1365,c,Transit,4.77468005,,,,541.,1.,2016-05-10,
Kepler-1365,b,Transit,7.69993485,,,,541.,1.,2016-05-10,
HD 16175,b,Radial Velocity,995.4,2.148,0.637,4.77,59.84,1.34,2016-05-19,16.71
Kepler-1335,b,Transit,6.26406846,,,,628.,0.77,2016-05-10,
Kepler-1559,b,Transit,0.97191543,,,,580.,0.86,2016-05-10,
Kepler-314,c,Transit,5.960392,0.064,,,,1.02,2014-05-14,
Kepler-314,b,Transit,2.461069,0.035,,,,1.02,2014-05-14,
Kepler-196,b,Transit,20.739886,0.138,,,,,2014-05-14,
Kepler-196,c,Transit,47.427737,0.24,,,,,2014-05-14,
Kepler-1325,b,Transit,33.8786838,,,,955.,0.93,2016-05-10,
Kepler-945,b,Transit,31.0033814,,,,1543.,0.97,2016-05-10,
Kepler-1317,b,Transit,0.56887443,,,,734.,0.83,2016-05-10,
Kepler-707,b,Transit,2.23749275,,,,626.,0.8,2016-05-10,
Kepler-640,b,Transit,22.24813967,,,,538.,1.01,2016-05-10,
Kepler-602,b,Transit,15.28469497,,,,971.,1.08,2016-05-10,
Kepler-798,b,Transit,13.71933369,,,,1085.,1.19,2016-05-10,
Kepler-1483,b,Transit,9.5085156,,,,1327.,1.25,2016-05-10,
Kepler-1048,b,Transit,6.92101021,,,,415.,0.75,2016-05-10,
Kepler-207,b,Transit,1.611865,0.029,,,,,2014-05-14,
Kepler-207,c,Transit,3.071571,0.044,,,,,2014-05-14,
Kepler-207,d,Transit,5.868075,0.068,,,,,2014-05-14,
Kepler-104,b,Transit,11.427548,0.094,,,,0.81,2014-05-14,
Kepler-104,c,Transit,23.668205,0.153,,,,0.81,2014-05-14,
Kepler-104,d,Transit,51.755394,0.257,,,,0.81,2014-05-14,
Kepler-601,b,Transit,5.37886844,,,,429.,0.85,2016-05-10,
Kepler-280,c,Transit,4.807091,0.056,,,,0.91,2014-05-14,
Kepler-280,b,Transit,2.139542,0.032,,,,0.91,2014-05-14,
Kepler-1383,b,Transit,13.9093583,,,,961.,1.26,2016-05-10,
Kepler-279,c,Transit,35.736,,,0.155,,1.1,2014-05-14,
Kepler-279,b,Transit,12.309681,0.112,,,,1.1,2014-05-14,
Kepler-279,d,Transit,54.414,,,0.118,,1.1,2014-05-14,
Kepler-359,d,Transit,77.095691,0.372,,,,1.07,2014-05-14,
Kepler-359,c,Transit,57.68802,0.307,,,,1.07,2014-05-14,
Kepler-359,b,Transit,25.563222,0.178,,,,1.07,2014-05-14,
Kepler-1351,b,Transit,0.91614077,,,,241.,0.7,2016-05-10,
Kepler-708,b,Transit,3.16789194,,,,1241.,0.97,2016-05-10,
Kepler-1262,b,Transit,8.67900242,,,,1153.,0.99,2016-05-10,
Kepler-1547,b,Transit,0.69297968,,,,665.,1.12,2016-05-10,
Kepler-1615,b,Transit,47.3126192,,,,940.,1.04,2016-05-10,
Kepler-1313,b,Transit,3.83309118,,,,187.,0.92,2016-05-10,
Kepler-988,b,Transit,17.76080053,,,,248.,0.55,2016-05-10,
Kepler-930,b,Transit,71.4517775,,,,905.,1.25,2016-05-10,
Kepler-977,b,Transit,26.85328322,,,,664.,0.87,2016-05-10,
HD 197037,b,Radial Velocity,1035.7,2.07,0.22,0.79,32.83,,2014-05-14,30.46
Kepler-947,b,Transit,26.9644317,,,,1188.,0.9,2016-05-10,
Kepler-60,b,Transit,7.1334,,,0.01318,,1.04,2016-04-07,
Kepler-60,c,Transit,8.9187,,,0.01211,,1.04,2016-04-07,
Kepler-60,d,Transit,11.8981,,,0.01309,,1.04,2016-04-07,
Kepler-1077,b,Transit,34.3511874,,,,1098.,1.02,2016-05-10,
Kepler-38,b,Transit,105.599,0.4632,0.032,0.384,600.,0.94,2014-05-14,
Kepler-1120,b,Transit,2.94902905,,,,635.,0.78,2016-05-10,
Kepler-603,b,Transit,21.05358596,,,,967.,1.01,2016-05-10,
Kepler-603,c,Transit,127.9075774,,,,967.,1.01,2016-05-10,
Kepler-603,d,Transit,6.2171292,,,,967.,1.01,2016-05-10,
Kepler-1174,b,Transit,6.89225223,,,,829.,1.04,2016-05-10,
Kepler-244,c,Transit,9.767292,0.087,,,,,2014-05-14,
Kepler-244,d,Transit,20.050401,0.14,,,,,2014-05-14,
Kepler-244,b,Transit,4.311792,0.05,,,,,2014-05-14,
Kepler-1239,b,Transit,5.19104016,,,,2511.,1.4,2016-05-10,
Kepler-20,e,Transit,6.098493,,0.28,0.01,290.,0.91,2014-05-14,
Kepler-20,d,Transit,77.61184,0.3453,0.6,0.063,290.,0.91,2014-05-14,
Kepler-20,c,Transit,10.854092,0.093,0.4,0.051,290.,0.91,2014-05-14,
Kepler-20,b,Transit,3.6961219,0.04537,0.32,0.027,290.,0.91,2014-05-14,
Kepler-20,f,Transit,19.57706,,0.32,0.045,290.,0.91,2014-05-14,
Kepler-491,b,Transit,4.22538451,,,,657.,1.04,2016-05-10,
Kepler-583,b,Transit,6.5100253,,,,805.,0.94,2016-05-10,
Kepler-477,b,Transit,11.11990653,,,,367.,0.87,2016-05-10,
Kepler-1303,b,Transit,7.56127224,,,,905.,1.01,2016-05-10,
Kepler-374,b,Transit,1.897806,0.029,,,,0.84,2014-05-14,
Kepler-374,d,Transit,5.028219,0.056,,,,0.84,2014-05-14,
Kepler-374,c,Transit,3.282807,0.042,,,,0.84,2014-05-14,
Kepler-944,b,Transit,43.3167737,,,,1035.,0.86,2016-05-10,
Kepler-709,b,Transit,16.08524954,,,,668.,0.8,2016-05-10,
Kepler-397,b,Transit,22.250949,0.144,,,,,2014-05-14,
Kepler-397,c,Transit,135.498527,0.48,,,,,2014-05-14,
Kepler-1462,b,Transit,65.6488341,,,,1368.,1.,2016-05-10,
Kepler-293,b,Transit,19.254196,0.144,,,,1.01,2014-05-14,
Kepler-293,c,Transit,54.155743,0.286,,,,1.01,2014-05-14,
Kepler-584,b,Transit,35.1810304,,,,1445.,1.17,2016-05-10,
Kepler-1414,b,Transit,3.51576315,,,,534.,0.8,2016-05-10,
Kepler-292,d,Transit,7.055679,0.068,,,,0.88,2014-05-14,
Kepler-292,e,Transit,11.97901,0.097,,,,0.88,2014-05-14,
Kepler-292,f,Transit,20.834237,0.141,,,,0.88,2014-05-14,
Kepler-292,b,Transit,2.580827,0.035,,,,0.88,2014-05-14,
Kepler-292,c,Transit,3.715335,0.045,,,,0.88,2014-05-14,
Kepler-28,b,Transit,5.9123,0.062,,1.51,,0.75,2014-05-14,
Kepler-28,c,Transit,8.9858,0.081,,1.36,,0.75,2014-05-14,
Kepler-343,c,Transit,23.22182,0.167,,,,1.04,2014-05-14,
Kepler-343,b,Transit,8.96855,0.088,,,,1.04,2014-05-14,
Kepler-245,b,Transit,7.49019,0.071,,,,0.8,2014-05-14,
Kepler-245,c,Transit,17.460812,0.124,,,,0.8,2014-05-14,
Kepler-245,e,Transit,3.21982106,,,,,0.8,2016-05-10,
Kepler-245,d,Transit,36.277108,0.202,,,,0.8,2014-05-14,
Kepler-291,b,Transit,3.546511,0.047,,,,1.03,2014-05-14,
Kepler-291,c,Transit,5.700786,0.065,,,,1.03,2014-05-14,
Kepler-1301,b,Transit,9.08237046,,,,816.,0.85,2016-05-10,
Kepler-1380,b,Transit,10.3108245,,,,1209.,0.96,2016-05-10,
Kepler-1088,b,Transit,23.12748644,,,,300.,1.08,2016-05-10,
Kepler-8,b,Transit,3.5224991,0.0474,,0.59,1330.,1.21,2015-10-15,
Kepler-1105,b,Transit,4.42157218,,,,369.,0.71,2016-05-10,
Kepler-312,c,Transit,19.747412,0.153,,,,1.23,2014-05-14,
Kepler-312,b,Transit,1.772419,0.031,,,,1.23,2014-05-14,
HAT-P-16,b,Transit,2.77596,0.0413,0.036,4.193,235.,1.22,2014-05-14,
Kepler-829,b,Transit,6.88337562,,,,954.,0.98,2016-05-10,
HAT-P-6,b,Transit,3.852985,0.05235,0.,1.057,261.,1.29,2014-05-14,3.83
Kepler-828,b,Transit,0.56785714,,,,625.,0.81,2016-05-10,
Kepler-1340,b,Transit,0.66502692,,,,1421.,1.27,2016-05-10,
Kepler-61,b,Transit,59.87756,,0.25,,,0.64,2014-05-14,
Kepler-1134,b,Transit,17.13263989,,,,997.,0.84,2016-05-10,
Kepler-1597,b,Transit,2.94654179,,,,1255.,1.25,2016-05-10,
Kepler-1204,b,Transit,85.7350285,,,,1282.,1.03,2016-05-10,
Kepler-641,b,Transit,9.48961571,,,,673.,1.02,2016-05-10,
Kepler-208,d,Transit,11.131786,0.103,,,,1.03,2014-05-14,
Kepler-208,e,Transit,16.259458,0.132,,,,1.03,2014-05-14,
Kepler-208,c,Transit,7.466623,0.079,,,,1.03,2014-05-14,
Kepler-208,b,Transit,4.22864,0.054,,,,1.03,2014-05-14,
Kepler-1603,b,Transit,2.27163926,,,,1751.,1.21,2016-05-10,
Kepler-1006,b,Transit,19.76172042,,,,496.,0.78,2016-05-10,
Kepler-492,b,Transit,11.72012266,,,,642.,0.94,2016-05-10,
Kepler-1376,b,Transit,5.30880656,,,,864.,0.98,2016-05-10,
Kepler-505,b,Transit,27.52197994,,,,222.,0.55,2016-05-10,
Kepler-1236,b,Transit,31.0571618,,,,1078.,0.86,2016-05-10,
Kepler-1260,b,Transit,19.1187753,,,,1041.,1.06,2016-05-10,
Kepler-1021,b,Transit,13.47469571,,,,837.,0.89,2016-05-10,
Kepler-1353,b,Transit,24.7543966,,,,596.,0.76,2016-05-10,
Kepler-1197,b,Transit,2.03231845,,,,505.,0.78,2016-05-10,
Kepler-1097,b,Transit,187.747029,,,,738.,0.82,2016-05-10,
Kepler-136,c,Transit,16.399235,0.133,,,,1.2,2014-05-14,
Kepler-136,b,Transit,11.5789,0.106,,,,1.2,2014-05-14,
Kepler-46,c,Transit Timing Variations,57.011,0.2799,0.0146,0.376,855.,0.9,2014-05-14,
Kepler-46,b,Transit,33.60134,0.1968,0.01,6.,855.,0.9,2014-05-14,
Kepler-46,d,Transit,6.766589,0.067,,,855.,0.9,2014-05-14,
Kepler-1231,b,Transit,10.41725184,,,,948.,1.01,2016-05-10,
Kepler-1490,b,Transit,92.4362973,,,,968.,0.9,2016-05-10,
Kepler-642,b,Transit,4.41745855,,,,1022.,1.4,2016-05-10,
Kepler-604,b,Transit,25.85501786,,,,981.,1.02,2016-05-10,
Kepler-1386,b,Transit,6.73972381,,,,838.,1.02,2016-05-10,
Kepler-209,c,Transit,41.749882,0.231,,,,,2014-05-14,
Kepler-209,b,Transit,16.087845,0.122,,,,,2014-05-14,
Kepler-558,b,Transit,29.00790538,,,,652.,0.85,2016-05-10,
Kepler-1542,c,Transit,2.89223021,,,,336.,0.94,2016-05-10,
Kepler-1542,e,Transit,5.10115756,,,,336.,0.94,2016-05-10,
Kepler-1542,d,Transit,5.99273738,,,,336.,0.94,2016-05-10,
Kepler-1542,b,Transit,3.95116882,,,,336.,0.94,2016-05-10,
Kepler-1607,b,Transit,13.6473676,,,,735.,1.14,2016-05-10,
Kepler-351,d,Transit,142.544247,,,,,0.89,2016-05-10,
Kepler-351,b,Transit,37.054919,0.214,,,,0.89,2014-05-14,
Kepler-351,c,Transit,57.24809,0.287,,,,0.89,2014-05-14,
Kepler-119,c,Transit,4.125103,0.049,,,,,2014-05-14,
Kepler-119,b,Transit,2.422082,0.035,,,,,2014-05-14,
Kepler-246,b,Transit,4.60182,0.052,,,,0.86,2014-05-14,
Kepler-246,c,Transit,11.187161,0.095,,,,0.86,2014-05-14,
Kepler-1009,b,Transit,11.35011917,,,,281.,0.59,2016-05-10,
Kepler-290,b,Transit,14.589347,0.11,,,,,2014-05-14,
Kepler-290,c,Transit,36.77031,0.205,,,,,2014-05-14,
Kepler-1477,b,Transit,11.55530021,,,,525.,0.81,2016-05-10,
Kepler-710,b,Transit,4.34728553,,,,919.,0.94,2016-05-10,
Kepler-827,b,Transit,51.92927591,,,,1352.,0.93,2016-05-10,
Kepler-1127,b,Transit,5.12330347,,,,996.,0.97,2016-05-10,
Kepler-1255,b,Transit,36.2919336,,,,1344.,1.08,2016-05-10,
Kepler-831,b,Transit,5.62153941,,,,577.,0.99,2016-05-10,
Kepler-1266,b,Transit,28.474748,,,,901.,0.8,2016-05-10,
Kepler-910,b,Transit,2.36436901,,,,402.,1.26,2016-05-10,
HIP 57050,b,Radial Velocity,41.397,0.163506,0.314,0.298,11.03,,2014-05-14,90.66
Kepler-830,b,Transit,11.29695137,,,,1122.,1.07,2016-05-10,
Kepler-931,b,Transit,8.03755877,,,,490.,0.86,2016-05-10,
Kepler-144,b,Transit,5.885273,0.066,,,,1.03,2014-05-14,
Kepler-144,c,Transit,10.104665,0.094,,,,1.03,2014-05-14,
Kepler-1420,b,Transit,6.69960006,,,,923.,0.82,2016-05-10,
Kepler-417,c,Transit Timing Variations,15.943,,,,,0.9,2014-05-28,
Kepler-417,b,Transit Timing Variations,12.331,,,0.035,,0.9,2014-05-28,
Kepler-123,c,Transit,26.695074,0.181,,,,1.03,2014-05-14,
Kepler-123,b,Transit,17.232366,0.135,,,,1.03,2014-05-14,
Kepler-743,b,Transit,3.17926292,,,,258.,0.94,2016-05-10,
Kepler-1503,b,Transit,96.16987,,,,850.,0.77,2016-05-10,
Kepler-355,b,Transit,11.03189,0.102,,,,1.05,2014-05-14,
Kepler-355,c,Transit,25.762294,0.179,,,,1.05,2014-05-14,
Kepler-1027,b,Transit,1.9078052,,,,291.,0.91,2016-05-10,
Kepler-81,b,Transit,5.955,,,,,0.64,2014-05-14,
Kepler-81,d,Transit,20.837846,0.128,,,,0.64,2014-05-14,
Kepler-81,c,Transit,12.04,,,,,0.64,2014-05-14,
Kepler-1278,b,Transit,3.23941344,,,,743.,1.11,2016-05-10,
Kepler-711,b,Transit,23.58914398,,,,664.,0.84,2016-05-10,
Kepler-1133,b,Transit,11.55562343,,,,821.,0.93,2016-05-10,
Kepler-160,c,Transit,13.699087,0.109,,,,,2014-05-14,
Kepler-160,b,Transit,4.309427,0.05,,,,,2014-05-14,
Kepler-1243,b,Transit,16.8320729,,,,877.,0.96,2016-05-10,
Kepler-1035,b,Transit,2.71407755,,,,408.,0.98,2016-05-10,
Kepler-289,b,Transit,34.545,0.21,,0.023,700.,1.08,2014-11-19,
Kepler-289,c,Transit,125.8518,0.51,,0.42,700.,1.08,2014-11-19,
Kepler-289,d,Transit,66.0634,0.33,,0.013,700.,1.08,2014-11-19,
Kepler-986,b,Transit,56.4349938,,,,563.,0.96,2016-05-10,
Kepler-643,b,Transit,16.33889626,,,,1029.,1.,2016-05-10,
Kepler-1646,b,Transit,4.48558383,,,,81.,0.24,2016-05-10,
Kepler-434,b,Transit,12.8747099,0.1143,0.131,2.86,1240.,1.2,2015-01-14,
Kepler-712,b,Transit,21.02247699,,,,944.,0.84,2016-05-10,
Kepler-712,c,Transit,226.89047,,,,944.,0.84,2016-05-10,
Kepler-1411,b,Transit,86.1150888,,,,1431.,0.95,2016-05-10,
Kepler-82,e,Transit,5.902206,0.063,,,,0.85,2014-05-14,
Kepler-82,d,Transit,2.382961,0.034,,,,0.85,2014-05-14,
Kepler-82,b,Transit,26.444,,,,,0.85,2014-05-14,
Kepler-82,c,Transit,51.538,,,,,0.85,2014-05-14,
Kepler-1220,b,Transit,7.42693741,,,,958.,1.,2016-05-10,
Kepler-508,b,Transit,25.30889748,,,,325.,1.16,2016-05-10,
Kepler-1358,b,Transit,7.06317341,,,,558.,0.82,2016-05-10,
Kepler-1595,b,Transit,4.56380468,,,,841.,0.84,2016-05-10,
Kepler-1425,b,Transit,14.4541302,,,,499.,0.97,2016-05-10,
Kepler-874,b,Transit,40.0686727,,,,1072.,1.09,2016-05-10,
Kepler-713,b,Transit,7.411141,,,,1003.,0.98,2016-05-10,
Kepler-137,b,Transit,8.436387,0.077,,,,,2014-05-14,
Kepler-137,c,Transit,18.735753,0.13,,,,,2014-05-14,
Kepler-247,c,Transit,9.439452,0.084,,,,,2014-05-14,
Kepler-247,d,Transit,20.477912,0.14,,,,,2014-05-14,
Kepler-247,b,Transit,3.33616,0.042,,,,,2014-05-14,
Kepler-978,b,Transit,49.6221509,,,,624.,1.07,2016-05-10,
Kepler-1145,b,Transit,3.97076766,,,,714.,0.79,2016-05-10,
Kepler-1078,b,Transit,3.00725242,,,,1215.,0.94,2016-05-10,
Kepler-54,d,Transit,20.995694,0.126,,,,0.51,2014-05-14,
Kepler-54,b,Transit,8.0109434,,,0.92,,0.51,2014-05-14,
Kepler-54,c,Transit,12.0717249,,,0.37,,0.51,2014-05-14,
Kepler-1606,b,Transit,196.435224,,,,880.,0.9,2016-05-10,
Kepler-1002,b,Transit,4.33642933,,,,425.,1.22,2016-05-10,
Kepler-184,b,Transit,10.687576,0.092,,,,,2014-05-14,
Kepler-184,c,Transit,20.303005,0.141,,,,,2014-05-14,
Kepler-184,d,Transit,29.022358,0.179,,,,,2014-05-14,
Kepler-210,b,Transit,2.453234,0.032,,,,,2014-05-14,
Kepler-210,c,Transit,7.972513,0.07,,,,,2014-05-14,
Kepler-161,b,Transit,4.921355,0.054,,,,0.77,2014-05-14,
Kepler-161,c,Transit,7.06424,0.068,,,,0.77,2014-05-14,
Kepler-866,b,Transit,2.61703254,,,,690.,0.75,2016-05-10,
Kepler-1441,b,Transit,39.4419839,,,,751.,1.,2016-05-10,
Kepler-854,b,Transit,2.14463285,,,,741.,1.17,2016-05-10,
Kepler-212,b,Transit,16.257582,0.133,,,,1.16,2014-05-14,
Kepler-212,c,Transit,31.805174,0.207,,,,1.16,2014-05-14,
Kepler-875,b,Transit,27.5073799,,,,1244.,1.06,2016-05-10,
Kepler-1188,b,Transit,17.1369543,,,,1202.,1.04,2016-05-10,
Kepler-1268,b,Transit,40.9903986,,,,1406.,1.06,2016-05-10,
Kepler-1180,b,Transit,16.8601286,,,,1284.,1.09,2016-05-10,
Kepler-1494,b,Transit,91.080482,,,,1059.,0.96,2016-05-10,
Kepler-211,c,Transit,6.04045,0.062,,,,0.97,2014-05-14,
Kepler-211,b,Transit,4.138575,0.048,,,,0.97,2014-05-14,
Kepler-1511,b,Transit,23.2382792,,,,897.,1.17,2016-05-10,
Kepler-1517,b,Transit,5.54608367,,,,869.,1.58,2016-05-10,
Kepler-859,b,Transit,20.38177573,,,,915.,0.81,2016-05-10,
Kepler-435,b,Transit,8.6001536,0.0948,0.114,0.84,2070.,1.54,2015-01-14,
Kepler-1461,b,Transit,29.3494775,,,,752.,0.79,2016-05-10,
Kepler-1387,b,Transit,2.27952666,,,,491.,0.82,2016-05-10,
Kepler-112,b,Transit,8.408878,0.076,,,,,2014-05-14,
Kepler-112,c,Transit,28.574263,0.172,,,,,2014-05-14,
Kepler-1560,b,Transit,3.03195744,,,,529.,1.02,2016-05-10,
Kepler-431,c,Transit,8.703,0.0847,,,,1.07,2014-11-19,
Kepler-431,d,Transit,11.922,0.1045,,,,1.07,2014-11-19,
Kepler-431,b,Transit,6.803,0.0719,,,,1.07,2014-11-19,
Kepler-1098,b,Transit,2.54307286,,,,876.,0.99,2016-05-10,
Kepler-1356,b,Transit,0.63400294,,,,881.,0.82,2016-05-10,
Kepler-863,b,Transit,15.59461874,,,,1145.,0.96,2016-05-10,
Kepler-1245,b,Transit,4.35409304,,,,861.,0.86,2016-05-10,
Kepler-1245,c,Transit,2.93658468,,,,861.,0.86,2016-05-10,
Kepler-932,b,Transit,1.9214374,,,,478.,0.87,2016-05-10,
Kepler-714,b,Transit,8.09888799,,,,1460.,1.09,2016-05-10,
Kepler-1584,b,Transit,13.3997099,,,,1325.,1.1,2016-05-10,
Kepler-605,b,Transit,3.38353807,,,,570.,0.91,2016-05-10,
Kepler-605,c,Transit,2.35895152,,,,570.,0.91,2016-05-10,
Kepler-138,c,Transit,13.7813,,,0.0062,,0.52,2015-06-17,
Kepler-138,d,Transit,23.0881,,,0.00201,,0.52,2015-06-17,
Kepler-138,b,Transit,10.3126,,,0.00021,,0.52,2015-06-17,
Kepler-1005,b,Transit,6.49801525,,,,515.,1.,2016-05-10,
Kepler-882,b,Transit,3.98953967,,,,525.,0.9,2016-05-10,
Kepler-717,b,Transit,4.40840023,,,,1126.,0.88,2016-05-10,
Kepler-402,d,Transit,8.921099,0.087,,,,,2014-05-14,
Kepler-402,e,Transit,11.242861,0.102,,,,,2014-05-14,
Kepler-402,c,Transit,6.124821,0.068,,,,,2014-05-14,
Kepler-402,b,Transit,4.028751,0.051,,,,,2014-05-14,
Kepler-315,b,Transit,96.101141,0.402,,,,0.78,2014-05-14,
Kepler-315,c,Transit,265.469335,0.791,,,,0.78,2014-05-14,
Kepler-716,b,Transit,10.37168453,,,,675.,0.83,2016-05-10,
Kepler-1160,b,Transit,7.97034958,,,,1293.,0.92,2016-05-10,
Kepler-392,c,Transit,10.423118,0.093,,,,1.13,2014-05-14,
Kepler-392,b,Transit,5.341853,0.059,,,,1.13,2014-05-14,
Kepler-871,b,Transit,22.0459018,,,,1695.,1.11,2016-05-10,
Kepler-1430,b,Transit,2.46050993,,,,541.,0.77,2016-05-10,
